shipment_id,date,source_node,destination_node,path,path_length,total_distance_km,planned_transit_days,actual_transit_days,delay_days,delayed,volume,value_usd,priority_level,product_category,fragility,temp_sensitive,customs_complexity_product,num_sea_legs,num_border_crossings,path_reliability,total_customs_complexity,total_handling_complexity,path_betweenness,path_pagerank,max_node_risk,weather_severity,port_congestion,supplier_reliability,supplier_quality,supplier_infra,demand_surge,is_peak_season,is_holiday,upstream_risk,month,day_of_week,quarter,week_of_year
SHP_00000,2022-04-19,SUP_030,CUS_121,SUP_030->PRT_042->PRT_044->PRT_047->WH_060->CUS_121,6,13417.52,27,31,4,1,1635,299656.39,1,Food,0.6,0.9,0.7,2,2,0.6261,1.98,2.155,0.017667,0.019635,0.1747,0.55,0.452,0.825,0.682,0.718,0.33,0,0,0.105,4,1,2,16
SHP_00001,2023-09-16,SUP_030,CUS_121,SUP_030->PRT_042->PRT_044->PRT_047->WH_060->CUS_121,6,13417.52,27,33,6,1,810,189689.5,1,Chemicals,0.5,0.6,0.8,2,2,0.6261,1.98,2.155,0.017667,0.019635,0.1747,0.78,0.452,0.825,0.682,0.718,0.828,0,0,0.03,9,5,3,37
SHP_00002,2023-01-18,SUP_008,CUS_121,SUP_008->PRT_054->PRT_042->PRT_044->PRT_047->WH_060->CUS_121,7,14300.31,30,34,4,1,1459,126877.31,2,Textiles,0.2,0.1,0.3,3,3,0.5632,2.79,2.571,0.016559,0.019797,0.2108,0.561,0.748,0.789,0.763,0.697,0.261,0,0,0.155,1,2,1,3
SHP_00003,2024-03-08,SUP_034,CUS_099,SUP_034->PRT_047->PRT_044->WH_061->CUS_099,5,1409.45,8,8,0,0,2756,1219296.07,1,Electronics,0.7,0.3,0.6,1,1,0.7923,1.486,1.565,0.013885,0.018378,0.2188,0.57,0.452,0.781,0.634,0.833,0.36,0,0,0.096,3,4,1,10
SHP_00004,2022-11-28,SUP_039,CUS_110,SUP_039->PRT_041->PRT_042->PRT_043->WH_063->CUS_110,6,10915.56,21,26,5,1,1731,152683.05,1,Raw Materials,0.1,0.05,0.2,2,4,0.5633,1.332,1.991,0.017584,0.014623,0.1817,0.334,0.937,0.85,0.755,0.672,0.969,1,0,0.121,11,0,4,48
SHP_00005,2022-04-25,SUP_001,CUS_085,SUP_001->PRT_041->PRT_045->WH_069->CUS_085,5,15366.8,26,29,3,1,2031,53312.04,1,Automotive,0.3,0.1,0.5,1,1,0.6478,1.251,1.5,0.022337,0.012675,0.1773,0.694,0.47,0.823,0.757,0.874,0.548,0,0,0.305,4,0,2,17
SHP_00006,2022-09-03,SUP_018,CUS_125,SUP_018->PRT_051->WH_070->CUS_125,4,2605.37,5,5,0,0,1169,75230.5,2,Electronics,0.7,0.3,0.6,0,0,0.8696,0.864,0.828,0.003356,0.012785,0.1298,0.512,0.206,0.87,0.727,0.933,0.822,0,0,0.348,9,5,3,35
SHP_00007,2024-06-18,SUP_014,CUS_119,SUP_014->PRT_054->PRT_042->PRT_043->PRT_045->WH_069->CUS_119,7,21634.85,38,43,5,1,1982,680901.88,3,Machinery,0.4,0.1,0.5,3,5,0.5239,2.337,2.89,0.022857,0.01509,0.201,0.444,0.748,0.841,0.678,0.573,0.308,0,0,0.096,6,1,2,25
SHP_00008,2024-01-20,SUP_004,CUS_125,SUP_004->PRT_040->PRT_042->PRT_043->WH_070->CUS_125,6,12702.24,21,25,4,1,1969,64415.01,2,Raw Materials,0.1,0.05,0.2,2,2,0.6464,1.852,2.053,0.018776,0.016678,0.2812,0.413,0.437,0.719,0.749,0.896,0.499,0,0,0.051,1,5,1,3
SHP_00009,2024-02-18,SUP_003,CUS_128,SUP_003->PRT_040->PRT_045->PRT_046->WH_066->CUS_128,6,20826.1,41,47,6,1,2957,43558.81,1,Textiles,0.2,0.1,0.3,2,2,0.6971,1.652,2.011,0.022282,0.013405,0.2419,0.338,0.522,0.909,0.817,0.828,0.279,0,1,0.202,2,6,1,7
SHP_00010,2023-11-07,SUP_007,CUS_096,SUP_007->PRT_040->PRT_045->WH_056->CUS_096,5,15674.19,26,26,0,0,2831,207727.49,2,Raw Materials,0.1,0.05,0.2,1,1,0.8428,1.111,1.451,0.0239,0.0123,0.2419,0.378,0.423,0.836,0.861,0.911,1.141,1,0,0.109,11,1,4,45
SHP_00011,2022-06-19,SUP_035,CUS_094,SUP_035->PRT_045->PRT_046->WH_056->CUS_094,5,5395.13,15,15,0,0,572,114123.34,3,Food,0.6,0.9,0.7,1,1,0.6202,1.352,1.812,0.021837,0.011653,0.1928,0.592,0.401,0.962,0.753,0.946,0.455,0,0,0.249,6,6,2,24
SHP_00012,2024-06-12,SUP_031,CUS_129,SUP_031->PRT_042->PRT_043->PRT_045->PRT_046->WH_074->CUS_129,7,17837.68,35,41,6,1,1314,156543.44,2,Pharmaceuticals,0.8,0.85,0.9,3,3,0.5065,2.297,2.819,0.023279,0.015105,0.2163,0.916,0.437,0.784,0.8,0.68,0.332,0,0,0.065,6,2,2,24
SHP_00013,2023-07-07,SUP_012,CUS_095,SUP_012->PRT_054->PRT_042->PRT_043->PRT_045->WH_056->CUS_095,7,21198.14,39,44,5,1,2175,439692.31,3,Chemicals,0.5,0.6,0.8,3,5,0.4386,2.301,3.036,0.022857,0.014891,0.201,0.593,0.437,0.97,0.807,0.639,0.545,0,0,0.224,7,4,3,27
SHP_00014,2023-02-13,SUP_019,CUS_086,SUP_019->PRT_043->PRT_045->PRT_046->WH_069->CUS_086,6,11802.92,25,30,5,1,623,79529.87,1,Automotive,0.3,0.1,0.5,2,4,0.6108,1.969,2.264,0.023678,0.012718,0.1928,0.888,0.522,0.828,0.759,0.815,0.357,0,1,0.103,2,0,1,7
SHP_00015,2023-06-14,SUP_026,CUS_117,SUP_026->PRT_054->PRT_042->PRT_043->PRT_045->WH_056->CUS_117,7,20483.28,37,41,4,1,787,36570.76,1,Raw Materials,0.1,0.05,0.2,3,3,0.5044,2.186,2.975,0.022857,0.01516,0.201,0.54,0.657,0.99,0.969,0.773,0.372,0,0,0.074,6,2,2,24
SHP_00016,2022-09-11,SUP_006,CUS_126,SUP_006->PRT_040->PRT_043->WH_070->CUS_126,5,5435.46,13,13,0,0,169,30740.19,1,Chemicals,0.5,0.6,0.8,1,1,0.7166,1.266,1.555,0.015512,0.012458,0.4944,0.28,0.329,0.506,0.882,0.813,0.818,0,0,0.015,9,6,3,36
SHP_00017,2022-12-13,SUP_003,CUS_111,SUP_003->PRT_040->PRT_043->WH_063->CUS_111,5,3814.55,12,12,0,0,2049,760271.72,2,Electronics,0.7,0.3,0.6,1,1,0.7221,1.119,1.479,0.015644,0.01166,0.2419,0.539,0.461,0.909,0.817,0.828,0.883,1,0,0.086,12,1,4,50
SHP_00018,2023-07-22,SUP_039,CUS_081,SUP_039->PRT_054->PRT_042->PRT_043->PRT_045->WH_069->CUS_081,7,19485.84,34,42,8,1,448,47547.23,1,Chemicals,0.5,0.6,0.8,3,5,0.5447,2.423,2.701,0.022857,0.015027,0.201,0.596,0.853,0.85,0.755,0.672,0.388,0,0,0.243,7,5,3,29
SHP_00019,2022-08-14,SUP_039,CUS_082,SUP_039->PRT_054->PRT_042->PRT_043->PRT_045->WH_056->CUS_082,7,20513.97,37,39,2,1,2115,239529.76,1,Electronics,0.7,0.3,0.6,3,5,0.4922,2.233,2.856,0.022857,0.015176,0.201,0.476,0.437,0.85,0.755,0.672,0.27,0,0,0.175,8,6,3,32
SHP_00020,2023-12-26,SUP_004,CUS_083,SUP_004->PRT_040->PRT_045->PRT_046->WH_057->CUS_083,6,14440.87,30,37,7,1,2139,652044.11,3,Electronics,0.7,0.3,0.6,2,2,0.7672,1.914,1.957,0.023911,0.013249,0.2812,0.403,0.562,0.719,0.749,0.896,1.091,1,1,0.062,12,1,4,52
SHP_00021,2022-03-11,SUP_013,CUS_125,SUP_013->PRT_049->WH_073->CUS_125,4,7538.52,13,13,0,0,2094,815910.95,2,Electronics,0.7,0.3,0.6,0,1,0.85,0.546,1.02,0.001186,0.01307,0.2697,0.701,0.419,0.828,0.85,0.677,0.438,0,0,0.231,3,4,1,10
SHP_00022,2022-03-14,SUP_020,CUS_089,SUP_020->PRT_043->PRT_045->PRT_046->WH_057->CUS_089,6,12034.31,26,32,6,1,1852,169410.23,2,Chemicals,0.5,0.6,0.8,2,3,0.6579,1.787,2.328,0.02316,0.012892,0.1928,0.412,0.875,0.99,0.984,0.837,0.498,0,0,0.247,3,0,1,11
SHP_00023,2023-11-17,SUP_017,CUS_088,SUP_017->PRT_050->PRT_045->PRT_046->WH_069->CUS_088,6,14557.1,29,34,5,1,2436,219677.2,2,Raw Materials,0.1,0.05,0.2,2,2,0.6672,1.869,2.452,0.022543,0.013895,0.4582,0.284,0.562,0.542,0.773,0.873,0.933,1,0,0.063,11,4,4,46
SHP_00024,2023-07-07,SUP_012,CUS_101,SUP_012->PRT_053->PRT_044->PRT_047->WH_062->CUS_101,6,9440.46,19,25,6,1,1971,191383.77,1,Textiles,0.2,0.1,0.3,2,2,0.6307,2.215,2.249,0.011619,0.017259,0.1682,0.472,0.452,0.97,0.807,0.639,0.461,0,0,0.247,7,4,3,27
SHP_00025,2023-08-14,SUP_036,CUS_121,SUP_036->PRT_044->PRT_047->WH_061->CUS_121,5,10779.23,30,30,0,0,1364,73779.55,2,Raw Materials,0.1,0.05,0.2,1,3,0.7949,1.276,1.541,0.013885,0.018657,0.1389,0.411,0.452,0.861,0.991,0.931,0.464,0,0,0.217,8,0,3,33
SHP_00026,2024-03-14,SUP_014,CUS_125,SUP_014->PRT_053->WH_073->CUS_125,4,4122.21,7,7,0,0,1082,46132.75,3,Raw Materials,0.1,0.05,0.2,0,0,0.8457,0.721,1.099,0.001496,0.012271,0.1682,0.308,0.403,0.841,0.678,0.573,0.353,0,0,0.186,3,3,1,11
SHP_00027,2022-07-14,SUP_024,CUS_124,SUP_024->PRT_043->WH_063->CUS_124,4,5021.71,9,9,0,0,2532,427151.91,2,Machinery,0.4,0.1,0.5,0,2,0.8123,0.588,1.245,0.010208,0.010283,0.1817,0.148,0.329,0.878,0.847,0.805,0.282,0,0,0.146,7,3,3,28
SHP_00028,2023-11-06,SUP_005,CUS_106,SUP_005->PRT_040->PRT_044->WH_060->CUS_106,5,11474.77,19,19,0,0,2027,666702.51,2,Pharmaceuticals,0.8,0.85,0.9,1,1,0.8304,1.114,1.157,0.021054,0.01837,0.2419,0.381,0.633,0.799,0.759,0.827,1.122,1,0,0.215,11,0,4,45
SHP_00029,2023-03-10,SUP_021,CUS_106,SUP_021->PRT_040->PRT_042->PRT_044->PRT_047->WH_060->CUS_106,7,16801.25,31,39,8,1,2081,589208.4,2,Pharmaceuticals,0.8,0.85,0.9,3,3,0.53,2.824,2.76,0.020485,0.019205,0.324,0.492,0.452,0.676,0.767,0.882,0.423,0,0,0.145,3,4,1,10
SHP_00030,2024-06-03,SUP_028,CUS_099,SUP_028->PRT_042->PRT_044->PRT_047->WH_062->CUS_099,6,13108.05,25,34,9,1,1254,252856.63,3,Electronics,0.7,0.3,0.6,2,2,0.6503,1.883,1.982,0.016678,0.019402,0.2824,0.958,0.471,0.718,0.799,0.789,0.483,0,0,0.187,6,0,2,23
SHP_00031,2022-03-04,SUP_005,CUS_110,SUP_005->PRT_040->PRT_042->PRT_043->WH_070->CUS_110,6,12528.21,19,24,5,1,2039,304492.82,2,Pharmaceuticals,0.8,0.85,0.9,2,2,0.7369,1.782,2.008,0.018776,0.014798,0.2419,0.434,0.688,0.799,0.759,0.827,0.345,0,0,0.15,3,4,1,9
SHP_00032,2024-03-30,SUP_020,CUS_114,SUP_020->PRT_040->PRT_052->WH_075->CUS_114,5,11305.21,22,22,0,0,2825,715724.76,2,Machinery,0.4,0.1,0.5,1,1,0.7416,1.141,1.592,0.009246,0.009232,0.2419,0.634,0.317,0.99,0.984,0.837,0.42,0,0,0.349,3,5,1,13
