node_id,week_start,shipment_count,total_volume,total_value,avg_delay,max_delay,delay_rate,delay_variance,avg_weather,max_weather,avg_congestion,max_congestion,avg_path_length,avg_distance,high_priority_ratio,sea_leg_ratio
SUP_000,2022-01-02,2,3265,1100022.77,4.5,5,1.0,0.5,0.5665,0.585,0.401,0.401,6.0,15837.54,0.0,1.0
SUP_000,2022-01-09,5,6839,454596.04,4.0,8,0.6,14.5,0.5839999999999999,0.826,0.5142,0.767,5.6,14290.188,0.2,1.0
SUP_000,2022-01-16,3,6094,735574.12,3.3333333333333335,6,0.6666666666666666,9.333333333333334,0.4416666666666667,0.485,0.40199999999999997,0.452,5.666666666666667,9397.236666666666,0.3333333333333333,1.0
SUP_000,2022-01-23,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUP_000,2022-01-30,1,435,42769.37,5.0,5,1.0,0.0,0.353,0.353,0.568,0.568,6.0,12194.88,0.0,1.0
SUP_000,2022-02-06,2,4818,640225.49,7.5,8,1.0,0.5,0.857,0.975,0.5575,0.593,6.0,18574.655,0.0,1.0
SUP_000,2022-02-13,1,454,181034.14,7.0,7,1.0,0.0,0.625,0.625,0.522,0.522,6.0,16683.16,0.0,1.0
SUP_000,2022-02-20,4,3936,457762.0899999999,5.5,8,0.75,14.333333333333334,0.6419999999999999,0.861,0.555,0.588,5.75,13084.6725,0.0,1.0
SUP_000,2022-02-27,4,7306,1029838.7,4.0,7,1.0,4.666666666666667,0.5117499999999999,0.65,0.36425,0.452,5.75,14852.4275,0.0,1.0
SUP_000,2022-03-06,1,2218,585631.73,5.0,5,1.0,0.0,0.591,0.591,0.302,0.302,4.0,3632.4,0.0,0.0
SUP_000,2022-03-13,3,5291,378544.76,6.0,8,1.0,4.0,0.5266666666666667,0.639,0.43,0.452,6.0,12769.016666666668,0.3333333333333333,1.0
SUP_000,2022-03-20,2,377,22109.68,5.0,6,1.0,2.0,0.4115,0.507,0.401,0.401,6.0,14949.189999999999,0.0,1.0
SUP_000,2022-03-27,2,4446,379569.37,8.0,8,1.0,0.0,0.4775,0.569,0.401,0.401,6.0,14917.86,0.0,1.0
SUP_000,2022-04-03,1,1275,82074.29,0.0,0,0.0,0.0,0.456,0.456,0.329,0.329,5.0,5198.29,0.0,1.0
SUP_000,2022-04-10,2,1336,222299.65999999997,5.0,7,1.0,8.0,0.285,0.36,0.41900000000000004,0.437,6.0,13416.494999999999,0.0,1.0
SUP_000,2022-04-17,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUP_000,2022-04-24,3,5014,1335802.06,2.0,6,0.3333333333333333,12.0,0.49,0.643,0.335,0.401,5.333333333333333,14987.936666666666,0.0,1.0
SUP_000,2022-05-01,2,3222,494702.55000000005,2.5,5,0.5,12.5,0.40599999999999997,0.594,0.35150000000000003,0.401,5.0,17330.32,0.0,1.0
SUP_000,2022-05-08,4,5360,1058161.32,3.75,6,0.75,6.916666666666667,0.34299999999999997,0.495,0.55925,0.763,5.5,13897.732499999998,0.25,0.75
SUP_000,2022-05-15,3,1991,222742.98,0.0,0,0.0,0.0,0.4656666666666667,0.968,0.316,0.329,4.666666666666667,6986.943333333333,0.3333333333333333,0.6666666666666666
SUP_000,2022-05-22,4,4848,401950.95000000007,4.0,7,0.75,8.666666666666666,0.24575,0.406,0.58625,0.88,5.75,13765.645,0.0,1.0
SUP_000,2022-05-29,4,4508,869390.2,3.25,5,0.75,4.916666666666667,0.11975,0.148,0.5215000000000001,0.904,5.75,10462.5975,0.25,1.0
SUP_000,2022-06-05,5,7475,1144507.77,5.0,6,1.0,2.0,0.2334,0.386,0.48179999999999995,0.652,6.2,14129.250000000004,0.2,1.0
SUP_000,2022-06-12,2,927,102388.70999999999,4.5,9,0.5,40.5,0.4385,0.612,0.583,0.714,5.5,7727.875,0.0,1.0
SUP_000,2022-06-19,7,9869,1188475.3399999999,2.4285714285714284,6,0.42857142857142855,9.285714285714286,0.36514285714285716,0.572,0.3894285714285714,0.452,5.428571428571429,12595.925714285715,0.14285714285714285,1.0
SUP_000,2022-06-26,2,3017,688459.35,4.5,5,1.0,0.5,0.34249999999999997,0.472,0.4445,0.452,6.0,12241.185000000001,1.0,1.0
SUP_000,2022-07-03,5,10054,726856.5299999999,2.8,6,0.6,7.700000000000001,0.1766,0.278,0.41900000000000004,0.452,5.6,12176.902,0.0,1.0
SUP_000,2022-07-10,3,4764,258700.30000000002,4.333333333333333,7,0.6666666666666666,14.333333333333334,0.36433333333333334,0.682,0.385,0.452,5.666666666666667,13801.343333333332,0.3333333333333333,1.0
SUP_000,2022-07-17,3,3405,245990.67999999996,5.333333333333333,9,0.6666666666666666,22.333333333333332,0.355,0.514,0.397,0.452,5.666666666666667,15085.32,0.0,1.0
SUP_000,2022-07-24,3,4529,422633.38999999996,3.6666666666666665,8,0.6666666666666666,16.333333333333336,0.236,0.514,0.36800000000000005,0.401,5.333333333333333,17268.816666666666,0.3333333333333333,1.0
SUP_000,2022-07-31,2,4034,745529.21,4.5,5,1.0,0.5,0.314,0.369,0.471,0.505,6.0,16215.445,0.5,1.0
SUP_000,2022-08-07,3,898,113669.56999999999,5.0,8,0.6666666666666666,19.0,0.19833333333333333,0.355,0.4686666666666666,0.637,5.666666666666667,10548.939999999999,0.0,1.0
SUP_000,2022-08-14,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUP_000,2022-08-21,1,1007,107866.03,0.0,0,0.0,0.0,0.948,0.948,0.452,0.452,5.0,11143.79,1.0,1.0
SUP_000,2022-08-28,1,1021,216731.05,6.0,6,1.0,0.0,0.433,0.433,0.401,0.401,6.0,14299.28,1.0,1.0
SUP_000,2022-09-04,4,5769,607182.44,3.5,6,0.75,6.333333333333333,0.4425,0.648,0.398,0.452,5.5,11977.11,0.25,0.75
